date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,sumtext,Project,Companies,Theme,tags
2011-11-01T07:00:00Z,,Amadeus Reservation System Glitch Affects Airlines Worldwide,"Boarding passes had to be printed out by hand by Qantas, BA, Air France, and Lufthansa for several hours.",,,140,minutes,2.333333333,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/worldwide-airline-reservation-hiccup-cured,,,,airport/port/customs systems,"Worldwide,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2012-03-01T07:00:00Z,,United-Continental Merged Reservation System Hits Major Turbulence,"United CEO claimed that system was well prepared, but it was anything but.",,,1,months,730,,,,,US,The Americas,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/united-airlines-reservation-system-cutover-still-hitting-patches-of-rough-air; http://www.npr.org/sections/thetwo-way/2012/08/28/160203793/computer-troubles-freeze-united-airlines-system-bringing-a-cascade-of-delays,,,,airport/port/customs systems,"US,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2012-10-01T07:00:00Z,,Sprint Cable Cuts Hit Airlines Using Sabre Reservation System,"Alaska, American, Frontier and SouthWest were all affected.",,,5.75,hours,5.75,7000,,,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/aerospace/aviation/sprint-cable-cuts-smack-alaska-airlines-hard,,,,"airport/port/customs systems, telecom","US,Operational Failure,Commercial,,,Telecom,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2013-04-01T07:00:00Z,,American Airlines Reservation System Out for Over Four Hours Due to Software Issue,"Connectivity issues cited, 970 flights canceled and 1068 delayed",,,4.5,hours,4.5,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/american-airlines-still-recovering-from-software-issue-that-grounded-flights-yesterday,,,,airport/port/customs systems,"Worldwide,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2013-06-01T07:00:00Z,,Southwest Airlines Grounds Entire Fleet for Three Hours After Computer Failure,"57 Flights were cancelled, and 250 others were grounded.",,,3,hours,3,,,,,US,The Americas,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-southwest-airlines-computer-failure-grounded-all-flights,"However, American's problem—whose cause has, to my knowledge, never been disclosed—affected its back-up system as well.. The AP reported that an airport spokesperson said there was a “connectivity issue” that “started early Wednesday morning in a computer system at a ticketing counter. Last Tuesday, the Salt Lake Tribune reported that a “database error” crashed the state’s drivers license records system. A news release at the state’s website seemingly blamed the problem on a network issue",,,airport/port/customs systems,"US,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2013-08-01T07:00:00Z,,Sabre Reservation System Experiences Worldwide Outage for Two Hours,"Dozens of flights around the world were canceled, and many more were delayed.",,,2.5,hours,2.5,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-sabre-outage-hit-flights-worldwide,"The JMA blamed the false warning on “electrical noise” on the ocean floor, and offered a televised apology. On Wednesday morning, human error was blamed for a tornado alert mistakenly being sent to 500 people in the Charlottesville-Albemarle County area of Virginia, the AP reported",,,airport/port/customs systems,"Worldwide,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2013-12-01T07:00:00Z,,"UK NATS System Crashes, Snarls Air Traffic Across Britain and Europe","300 flights were cancelled and another 1,400 flights delayed over the course of two days.",,,13,hours,13,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/uk-air-traffic-control-problem-snarls-flights-over-weekend; http://www.techweekeurope.co.uk/workspace/air-traffic-control-software-glitch-133716; http://www.ft.com/intl/cms/s/0/65544730-8216-11e4-b9d0-00144feabdc0.html#axzz3gjQXQL2y,,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2014-03-01T07:00:00Z,685329462,UK £750 Million e-Borders Project Finally Ends,"The UK government eventually agreed to a cost of 409.3 million pounds (£259.3 million in initial costs, and a £150 million contract termination fee). ",,,,,,,409300000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Customs,,http://www.computerweekly.com/news/2240216029/Government-finally-scraps-e-Borders-programme; https://www.gov.uk/government/news/home-secretary-letter-on-the-e-borders-programme-arbitration; http://www.bizjournals.com/boston/blog/techflash/2015/03/raytheon-u-k-subsidiary-reaches-223m-settlement.html ,,,Raytheon,"airport/port/customs systems, project termination/cancellation","UK,Project Failure,Government,National,Customs,,£,airport/port/customs systems, project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-05-01T07:00:00Z,,U2 Flight Exposes Software Flaw in FAA Air Traffic Control System,Air traffic in four Western States was affected by trouble with En Route Automation Modernization (ERAM) system.,,,1,hours,1,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/report-claims-u2-to-blame-for-us-west-coast-airtraffic-outage,,,,airport/port/customs systems,"US,Operational Failure,Government,National,Transportation,,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2014-06-01T07:00:00Z,,Heathrow Terminal 5 Has Multi-day Baggage System Problems,Thousands of passengers had to fly without bags.,,,3,days,72,5000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/thousands-of-bags-miss-flights-at-british-airways-heathrow-terminal-5-again; http://www.telegraph.co.uk/travel/travelnews/5676256/Thousands-stranded-by-Heathrow-Terminal-5-baggage-failure.html,"ComputerWorldUK reports that Heathrow Airport Holdings is remaining very tight-lipped over what caused the baggage system fault and why it took four days to fix it, which is rarely a good sign that everything is under control.",,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2012-03-01T07:00:00Z,5.56E8,California Cancels Court Case Management System After Spending $556 Million,Another $1.3 billion would be needed to finish the system.,,,,,,,5.56E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Law Enforcement,,http://www.ocregister.com/taxdollars/strong-478664-project-million.html,,,,project termination/cancellation,"US,Project Failure,Government,State/Local,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2006-07-01T07:00:00Z,28400000,University of Wisconsin Cancels Payroll and Benefits System,The failed project cost $28.4 million.,,,,,,,28400000,$,USD,US,The Americas,Project Failure,Government,State/Local,Education,,http://legis.wisconsin.gov/lab/reports/07-5Full.pdf,,,,"project termination/cancellation, payroll","US,Project Failure,Government,State/Local,Education,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-07-01T07:00:00Z,177114866,Irish Health Services Executive Abandons €131 Million Payroll System PPARS,Costs had climbed from €9 million to €131 million since 2005.,,,,,,,131000000,€,EUR,Ireland,"Europe, Middle East, and Africa",Project Failure,Government,National,Health and Human Services,,http://www.irishhealth.com/article.html?id=11805; http://www.audgen.gov.ie/documents/vfmreports/VFM_51_PPARS_Report.pdf,,,,"payroll, health","Ireland,Project Failure,Government,National,Health and Human Services,,€,payroll, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-08-01T07:00:00Z,,New $95 Million Los Angeles Unified School District Payroll System Doesn't Work,"Tens of thousands of teachers, cafeteria workers, classroom aides and others have been underpaid, overpaid, or not paid at all.",,,,,,50000,,,,US,The Americas,Operational Failure,Government,State/Local,Education,,http://spectrum.ieee.org/riskfactor/computing/it/la_school_system_blunder,,,,payroll,"US,Operational Failure,Government,State/Local,Education,,,payroll,,,Impact - Raw,Impact - customers affected"
2013-08-01T07:00:00Z,1.67E8,Pennsylvania Won't Renew Contract with IBM Over Botched Unemployment System,"Original cost was $106.9 million, but over $167 million was spent and the project was 3 years late and still missing critical functionality.",,,,,,,1.67E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://spectrum.ieee.org/riskfactor/computing/it/pennsylvania-wont-renew-ibms-contract-for-botched-project,"He also stated, “In complex information technology implementations, there is accountability on both sides for system performance and service delivery.”

In other words, don’t blame us, instead the blame should be placed on the state’s mismanagement of the system contract for the modernization effort ending up resembling IT roadkill.",,,contract termination/cancellation,"US,Project Failure,Government,State/Local,Labor,,$,contract termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-06-01T07:00:00Z,15814402,"Swansea City Council Cancels £800,000 Payroll Project after £8 Million Cost Overrun",The project resulted in a £8 million loss.,,,,,,,8000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,State/Local,Information Technology,,http://spectrum.ieee.org/riskfactor/computing/it/how_do_you_create_a_8_million,,,,"project termination/cancellation, payroll","UK,Project Failure,Government,State/Local,Information Technology,,£,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-10-01T07:00:00Z,9.0E7,Verizon Overbills 15 Million Customers for Years Due to Software Errors,There were $90 million in overcharges during that time,,,,,,15000000,9.0E7,$,USD,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/verizon-overbilled-15-million-customers-for-years-because-of-software-errors,"The Australian says that they admit that there may be customer service problems, but they are in large part caused by technology-challenged customers.",,,"billing, telecom","US,Operational Failure,Commercial,,,Telecom,$,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty"
2009-11-01T07:00:00Z,1.89E8,"Processing Error Withdraws Pension Checks of 66,000 Retired New York City Teachers",$189 million was accidentally sent back to state.,,,,,,66000,1.89E8,$,USD,US,The Americas,Operational Failure,Government,State/Local,Education,,http://spectrum.ieee.org/riskfactor/computing/it/processing-error-withdraws-pension-checks-of-66000-retired-new-york-city-teachers,,,,payroll,"US,Operational Failure,Government,State/Local,Education,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-08-01T07:00:00Z,5000000,24 Virginia State Agencies Knocked Offline by Server Problems,Problems last over a week for some agencies. The state later fined Northrop Grumman $5 million for the the outages.,,,1,weeks,168,,5000000,$,USD,US,The Americas,Operational Failure,Government,State/Local,Information Technology,,http://spectrum.ieee.org/riskfactor/computing/it/virginia-state-agencies-still-suffering-from-server-problems;  http://www.computerworld.com/article/2515423/data-center/northrop-grumman-takes-blame-for-va--it-services-outage.html; http://spectrum.ieee.org/riskfactor/computing/it/virginias-2-billion-outsourced-it-contract-in-shambles; http://www.washingtonpost.com/blogs/virginia-politics/post/virginia-fines-northrop-grumman-nearly-5m-for-massive-computer-outage/2011/05/19/AF9eLB7G_blog.html,"The Virginia Information Technologies Agency (VITA) said that how negatively an individual state agency was affected was due to where its information was stored on the state's servers.

The Department of Motor Vehicles apparently was the most visibly affected, with no in-person license renewals possible at its 74 locations across the state",Northrop Grumman,,system outage/crash,"US,Operational Failure,Government,State/Local,Information Technology,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-06-01T07:00:00Z,7.2E8,"US Government Files Fraud Charges over CityTime Billing, New York Wants SAIC to Pay Back $600 Million in Billings",The total project cost billed was $720 million.,,,,,,,7.2E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/new-york-city-to-citytime-prime-contractor-saic-fork-over-our-600-million; http://spectrum.ieee.org/riskfactor/computing/it/nyc-bigtime-citytime-fraud-charges-ripples-on,,,SAIC,payroll,"US,Operational Failure,Government,State/Local,Finance and Treasury,,$,payroll,,,Impact - Raw,Impact - Qty,Impact - Currency"
2013-02-01T07:00:00Z,50000000,California Cancels $89.7 Million MyCalPAYS Payroll Modernization System,"$50 million was spent, but 5 Phase system development never made it past Phase 1.",,,,,,,50000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/californias-payroll-project-debacle-another-50-million-up-in-smoke,This occurred because OBT officials did not adequately monitor the development and completion of the implementation tasks.”,,SAP,"project termination/cancellation, payroll","US,Project Failure,Government,State/Local,Finance and Treasury,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-08-01T07:00:00Z,,Skype Software Update Takes it Down,millions of users affected for two days,,,2,days,48,220000000,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/skype_scuppered; http://www.nytimes.com/2007/08/21/business/worldbusiness/21skype.html?pagewanted=print&_r=0; http://heartbeat.skype.com/2007/08/what_happened_on_august_16.html; http://www.cnet.com/news/skypes-unprecedented-outage/,"Yesterday morning (about 0900 EDT in the US) the internet phone and messaging company Skype acknowledged that its users were experiencing log-on problems due to a software problem. A two-day system failure that left millions unable to use Skype, the popular Internet phone service, was caused by an abnormally high number of restarts after people had downloaded a Windows security update, the company said on Monday.. The disruption, he wrote, was triggered by a massive restart of our users computers across the globe within a very short time frame as they rebooted after receiving a routine set of patches through Windows Update.",,"Microsoft, Skype",telecom,"Worldwide,Operational Failure,Commercial,,,Telecom,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2008-02-01T07:00:00Z,,BlackBerry Goes Dark Across North America,Software update blamed,,,3,hours,3,,,,,North America,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/tech-talk/semiconductors/devices/blackberry_service_outage_hits,"Update: Service has been restored to ""most users""--according to prominent media accounts such as this one--but the cause of the BlackBerry service malfunction has not been disclosed.",,BlackBerry,telecom,"North America,Operational Failure,Commercial,,,Telecom,,,BlackBerry,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-07-01T07:00:00Z,,"Cut Optus Fibre Optic Cable Affects 1 Million Customers in Queensland, Australia","Cut causes major land line, mobile phone and internet shutdown for over four hours.",,,4,hours,4,1000000,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/fun_in_the_land_of_oz,"A back-up system was activated through an inland network, but because of a system card failure the night before, the back-up system wasn't available.

Optus called the outage a ""one in a million"" event. It implied that the telco Optus was at fault, not them.",,,telecom,"Australia,Operational Failure,Commercial,,,Telecom,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2008-12-01T07:00:00Z,,Undersea Cables Damaged in Mediterranean Sea,"Internet, data and telephone communications disrupted for days across the eastern Mediterranean region. A France Telecom report listed 14 countries affected by the current problem. The cables were repaired on 31 December 2008.",,,12,days,288,,,,,EMEA,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/undersea_cables_damaged_in_med; http://www.wired.com/2008/12/mediterranean-c/; http://www.osa-opn.org/home/articles/volume_25/march_2014/features/sea_change_the_challenges_facing_submarine_optical/#.VXgrjvlVhBc,,,,telecom,"Egypt,Operational Failure,Commercial,,,Retail,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-09-01T07:00:00Z,,Gmail Goes Down,"The service was down for about 2 hours, hitting 150 million users.",,,2,hours,2,150000000,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/google-gmail-should-be-working-again,"According to this story at The Register, yesterday's problem was due to an ""upgrade"" to enhance Gmail performance and implied Monday's was as well.",,,telecom,"Worldwide,Operational Failure,Commercial,,,Telecom,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2009-10-01T07:00:00Z,,T-Mobile Temporarily Stops Selling Sidekick Phones after Massive  User Data Loss,Sidekick owners lost their data due to Microsoft data center issues.,,,,,,800000,,,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/tmobile-temporarily-stops-selling-sidekick-phones; http://www.zdnet.com/article/t-mobile-sidekick-data-outage-tests-mettle-of-800000-customers-carrier/,,,"Microsoft, T-Mobile",telecom,"US,Operational Failure,Commercial,,,Telecom,,,Microsoft,,Impact - Raw,Impact - customers affected"
2009-12-01T07:00:00Z,,BlackBerry Suffers Back to Back Outages,The company blames an update of their messenger software.,,,8,hours,8,1.88E7,,,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/blackberry-zeroing-in-on-cause-of-recent-outages; http://www.cnn.com/2009/TECH/12/23/blackberry.outage/; http://www.statista.com/statistics/232792/forecast-of-rim-users-in-the-us/,"According to news reports, Research in Motion (RIM) says that the two BlackBerry outages - one last week and one this week - appear to be caused by flaw in recently released versions of Blackberry Messenger software.



This story in PC Magazine quotes a RIM press release saying that the:



""Root cause is currently under review, but based on preliminary analysis, it currently appears that the issue stemmed from a flaw in two recently released versions of BlackBerry Messenger (versions 5.0.0.55 and 5.0.0.56) that caused an unanticipated database issue within the BlackBerry infrastructure.""",,BlackBerry,telecom,"US,Operational Failure,Commercial,,,Telecom,,,BlackBerry,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2010-12-01T07:00:00Z,,Comcast Suffers Major East Coast Outage Lasting for 15 Hours,"The company blames it on a ""server issue.""",,,15,hours,15,,,,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/internet/comcast-suffers-major-internet-outage,"The problem apparently involved Comcast's Domain Name Servers (DNS), according to Rob Pegoraro in his Fast Forward blog in the Washington Post.

This CNN story with a time stamp of 0246 today quotes a Comcast spokesperson as saying:

""Late this evening, our engineers identified a server issue that was affecting only Internet service in Greater Boston and DC/Beltway areas.""

The Comcast spokesperson could not say how many customers were affected, nor what the specific problem was with its servers",,,telecom,"US,Operational Failure,Commercial,,,Telecom,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-04-01T07:00:00Z,,Georgian Woman Accused of Accidentally Bringing Down Armenia's Internet with Shovel,The 75-year old was likely scavenging for wiring to sell as scrap.,,,12,hours,12,,,,,Georgia,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/internet/georgian-woman-accidentally-brings-down-armenias-internet,,,,telecom,"Georgia,Operational Failure,Commercial,,,Retail,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-10-01T07:00:00Z,,"BlackBerry Experiences Email and Internet Outages across Europe, the Middle East, and Africa",Servers were blamed for disruptions that last almost three days and affected over 40 million customers.,,,3,days,72,4.0E7,,,,EMEA,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/glitch-leaves-millions-of-blackberry-owners-without-email-internet,"The AP story says that the problem was blamed on RIM server problems in Canada, while this story from the Independent in London blamed the outage on RIM servers issues in the United Kingdom.",,BlackBerry,telecom,"EMEA,Operational Failure,Commercial,,,Telecom,,,BlackBerry,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2012-07-01T07:00:00Z,25254407,France Telecom Mobile 10-Hour Outage Affects 26 Million Subscribers,Compensation estimated to cost up to €20 million.,,,10,hours,10,26000000,20000000,€,EUR,France,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/france-tlcom-mobile-network-outage-affecting-26-million-subscribers-angers-government-ministers; http://in.reuters.com/article/2012/07/11/francetelecom-outage-idINL6E8IBBND20120711,The Reuter story implies that the new French government believes that the outage may be caused by excessive cost cutting by France Telecom.,,,telecom,"France,Operational Failure,Commercial,,,Telecom,$,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Impact - Currency"
2012-09-01T07:00:00Z,,"BlackBerry Email and Internet Disrupted for Three Hours in Europe, the Middle East and Africa","BlackBerry blamed a ""service issue.""",,,3,hours,3,,,,,EMEA,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/blackberry-service-issue-underscores-apple-iphone-5-launch,,,BlackBerry,telecom,"EMEA,Operational Failure,Commercial,,,Telecom,,,BlackBerry,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2010-05-01T07:00:00Z,,NYSE Trading Goes Haywire,The exchange suddenly drops more than 587 points. The cause was later traced to a trading algorithm.,,,6,minutes,0.1,,,,,US,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/man-the-hatches-new-york-stock-market-trading-goes-haywire,"Others blamed programmed trading that ran amok, while others said that there were problems in the ""circuit breaker"" programs that regulate trading",,,stock exchange,"US,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2005-03-01T07:00:00Z,1.7E8,FBI Cancels Virtual Case File System,The failed project cost $170 million.,,,,,,,1.7E8,$,USD,US,The Americas,Project Failure,Government,National,Law Enforcement,,http://www.computerworld.com/article/2569344/app-development/fbi-scuttles--170m-system-for-managing-investigations.html;https://oig.justice.gov/reports/FBI/a0507/exec.htm,,FBI VCF/Sentinel,SAIC,project termination/cancellation,"US,Project Failure,Government,National,Law Enforcement,,$,project termination/cancellation,,FBI VCF/Sentinel,Impact - Raw,Impact - Qty,Impact - Currency"
2005-12-01T07:00:00Z,27900000,Colorado Department of Labor & Employment Terminates State Unemployment IT Project Genesis,$27.9 million was spent on the unsuccessful project.,,,,,,,27900000,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://www.leg.state.co.us/osa/coauditor1.nsf/All/22147172A4CF63D787257331006E6610/$FILE/1778%20Genesis%20Project%20Perf%20MEMO%208-6-07.pdf,,,,project termination/cancellation,"US,Project Failure,Government,State/Local,Labor,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2005-12-01T07:00:00Z,1.83E7,US DHS Cancels Emerge2 Program,$18.3 million was already spent.,,,,,,,1.83E7,$,USD,US,The Americas,Project Failure,Government,National,Law Enforcement,,http://fcw.com/articles/2006/03/30/emerge2s-failure-sends-dhs-back-to-drawing-board.aspx?admgarea=TC_Management,,,SAP,project termination/cancellation,"US,Project Failure,Government,National,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2006-01-01T07:00:00Z,1175015,FBI Terminates Laboratory Information Management System Project,The program cost the FBI $1.2 million and the project was already two years late.,,,,,,,1175015,$,USD,US,The Americas,Project Failure,Government,National,Law Enforcement,,http://www.justice.gov/oig/reports/FBI/a0633/final.pdf,,,,project termination/cancellation,"US,Project Failure,Government,National,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2006-07-01T07:00:00Z,14400000,US Treasury Dept. Cancels $15.1 Million BSA Direct R&S Project,$14.4 million was wasted on a project initially estimated to cost $8.9 million. And it still didn't work.,,,,,,,14400000,$,USD,US,The Americas,Project Failure,Government,National,Finance and Treasury,,http://www.fincen.gov/news_room/nr/html/20060713.html,,,,project termination/cancellation,"US,Project Failure,Government,National,Finance and Treasury,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2006-07-01T07:00:00Z,840240132,UK Terminates Child Support Agency Undermined by IT System Failure,£456 million was spent on a failed system.,,,,,,,456000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Health and Human Services,,http://www.computerweekly.com/news/2240077941/IT-failures-help-speed-demise-of-Child-Support-Agency,,,,project termination/cancellation,"UK,Project Failure,Government,National,Health and Human Services,,£,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2006-09-01T07:00:00Z,266712389,UK Scraps Department of Work  and Pensions Benefits Processing Replacement Programme,£141 million was spent with no payoff.,,,,,,,1.4E8,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Labor,,http://www.computerweekly.com/news/2240078312/DWP-shelves-140m-benefits-processing-system,,,,project termination/cancellation,"UK,Project Failure,Government,National,Labor,,£,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-02-01T07:00:00Z,23600000,Wisconsin Pulls Plug on $41.2 Million  EnABLES Unemployment Insurance Project,"$23.6 million was spent on the system that was supposed to be built over 7 phases. Phase 1 worked and cost $13 million, while phase 2 never worked and cost $10 million.",,,,,,,23600000,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://www.jsonline.com/news/wisconsin/29386584.html,Accenture has said the delays were caused by the state because it changed the scope of the project.,,,project termination/cancellation,"US,Project Failure,Government,State/Local,Labor,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-03-01T07:00:00Z,77675803,RCMP Canadian Firearms Program Cancelled,The government is on the hook for CA $91 million.,,,,,,,9.1E7,$,CAD,Canada,The Americas,Project Failure,Government,National,Law Enforcement,,http://www.thestar.com/news/2007/11/08/gun_registry_contract_cancelled_after_81m_spent.html?app=noRedirect,,,CGI,project termination/cancellation,"Canada,Project Failure,Government,National,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-07-01T07:00:00Z,3820955,Australia Cancels AU $4.5 Million Firelink Wildfire Communications System Project,AU $4.5 million was wasted in the effort.,,,,,,,4500000,$,AUD,Australia,Asia Pacific and Japan,Project Failure,Government,National,Law Enforcement,,http://www.abc.net.au/news/2007-07-13/act-firelink-system-waste-of-money/2501524,,,,project termination/cancellation,"Australia,Project Failure,Government,National,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-01-01T07:00:00Z,407819795,UK Cancels $750 Million C-NOMIS Prison IT System,The cost to cancel was £205 million.,,,,,,,205000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Law Enforcement,,http://spectrum.ieee.org/riskfactor/computing/it/uk_cancels_750_million_prison,,,,project termination/cancellation,"UK,Project Failure,Government,National,Law Enforcement,,£,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-03-01T07:00:00Z,1219730740,Australian Super Seasprite Helo Electronic Upgrade Cancelled,The estimated taxpayer cost was AU $1.3 billion.,,,,,,,1300000000,$,AUD,Australia,Asia Pacific and Japan,Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/it_mercy_rule_called_seasprite; http://spectrum.ieee.org/riskfactor/computing/it/australian_super_seasprite_sof,,,,project termination/cancellation,"Australia,Project Failure,Government,National,Defense and Veterans Affairs,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
